"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Sprint","Start date","Data de início inferida","Data limite","Data de entrega inferida","Issue color"
"SCRUM-16","Epic","","EPIC: Fundação Técnica","A fazer","Jeferson Ferreira","","2025/10/27","2025/10/27","2025/10/31","2025/10/31","grey"
"SCRUM-3","História","SCRUM-16","Consultar Cardapio","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","2025/10/27","2025/10/27","","2025/10/31","purple"
"SCRUM-27","História","SCRUM-16","Setup CI/CD GitLab","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","","2025/10/27","","2025/10/31","purple"
"SCRUM-28","História","SCRUM-16","Setup Backend FastAPI","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","","2025/10/27","","2025/10/31","purple"
"SCRUM-29","História","SCRUM-16","Setup Frontend Angular","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","","2025/10/27","","2025/10/31","purple"
"SCRUM-17","Epic","","EPIC: Autenticação","A fazer","Jeferson Ferreira","","2025/10/27","2025/10/27","2025/10/31","2025/10/31","blue"
"SCRUM-1","História","SCRUM-17","Integracao SSO Keycloak","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","","2025/10/27","","2025/10/31","purple"
"SCRUM-18","Epic","","EPIC: Gestão de Cardápio","A fazer","Jeferson Ferreira","","2025/11/03","2025/11/03","2025/11/14","2025/11/14","blue"
"SCRUM-2","História","SCRUM-18","Publicar Cardapio ","A fazer","Jeferson Ferreira","Sprint 2: Cardápio e Avisos","","2025/11/03","","2025/11/14","purple"
"SCRUM-54","História","SCRUM-18","Cadastrar/Alterar Cardápio","A fazer","Jeferson Ferreira","Sprint 2: Cardápio e Avisos","","2025/11/03","","2025/11/14","purple"
"SCRUM-19","Epic","","EPIC: Comunicação","A fazer","Jeferson Ferreira","","2025/11/03","2025/11/03","2025/11/14","2025/11/14","blue"
"SCRUM-12","História","SCRUM-19","Publicação de avisos na página principal","A fazer","Jeferson Ferreira","Sprint 2: Cardápio e Avisos","2025/12/01","2025/11/03","2025/12/12","2025/11/14","purple"
"SCRUM-20","Epic","","EPIC: Avaliações","A fazer","Jeferson Ferreira","","2025/11/17","2025/11/17","2025/11/28","2025/11/28","teal"
"SCRUM-56","História","SCRUM-20","Publicação de calendário/horário","A fazer","Jeferson Ferreira","Sprint 3: Calendário e Reviews","","2025/11/17","","2025/11/28","purple"
"SCRUM-13","História","SCRUM-20","Registrar avaliação do cardápio","A fazer","Jeferson Ferreira","Sprint 3: Calendário e Reviews","2025/12/01","2025/11/17","2025/12/12","2025/11/28","purple"
"SCRUM-10","História","SCRUM-20","Consultar avaliação Online","A fazer","Jeferson Ferreira","Sprint 3: Calendário e Reviews","2025/10/27","2025/11/17","2025/10/31","2025/11/28","purple"
"SCRUM-63","Epic","","EPIC: Históricos","A fazer","Jeferson Ferreira","","2025/12/01","2025/12/01","2025/12/12","2025/12/12","purple"
"SCRUM-11","História","SCRUM-63","Acessar histórico de avaliações","A fazer","Jeferson Ferreira","Sprint 4: Incremento 01","2025/11/17","2025/12/01","2025/11/28","2025/12/12","purple"
"SCRUM-62","Epic","","EPIC: Favoritos","A fazer","Jeferson Ferreira","","2025/12/01","2025/12/01","2025/12/12","2025/12/12","purple"
"SCRUM-59","História","SCRUM-62","Favoritar Refeição","A fazer","Jeferson Ferreira","Sprint 4: Incremento 01","","2025/12/01","","2025/12/12","purple"
"SCRUM-6","História","SCRUM-62","Alerta de Pratos Favoritos","A fazer","Jeferson Ferreira","Sprint 4: Incremento 01","","2025/12/01","","2025/12/12","purple"
"SCRUM-21","Epic","","EPIC: Reservas","A fazer","Jeferson Ferreira","","2025/12/15","2025/12/15","2025/12/26","2025/12/26","yellow"
"SCRUM-9","História","SCRUM-21","Reserva de Refeicao","A fazer","Jeferson Ferreira","Sprint 5: Incremento 02","2025/11/17","2025/12/15","2025/11/28","2025/12/26","purple"
"SCRUM-7","História","SCRUM-21","Cancelamento de Reservas","A fazer","Jeferson Ferreira","Sprint 5: Incremento 02","","2025/12/15","","2025/12/26","purple"
